Country;MinHolidays;MaxHolidays;Notes
Albania;13;14;
Argentina;16;19;depending on state and workplace
Australia;9;13;depending on state
Austria;13;18;depending on state and workplace
Bangladesh;22;22;
Belgium;10;10;
Barbados;11;12;
Brazil;9;12;including bank holidays
Bulgaria;12;12;
Cambodia;21;21;
Canada;10;11;depending on jurisdiction
Chile;20;20;depending on state and workplace
China;13;13;
Colombia;18;18;
Croatia;14;14;
Cyprus;14;14;
Czechia;13;13;
Denmark;14;14;
Dominican Republic;12;12;
Ecuador;11;11;depending on city
Egypt;12;12;
Estonia;12;12;
Fiji;11;23;
Finland;13;13;
France;11;13;13 only in Alsace and Moselle[27]
Germany;10;13;depending on state
Ghana;13;13;
Greece;12;12;
Hong Kong;17;17;
Hungary;11;13;
Iceland;16;16;
India;35[citation needed];42;
Indonesia;16;16;
Iran;26;26;
Ireland;10;10;
Israel;11;11;
Italy;12;12;
Japan;16;16;
Kazakhstan;16;16;
Kenya;13;13;
Kosovo;11;11;
Latvia;13;13;
Lebanon;19;19;
Liechtenstein;20;22;
Lithuania;15;15;
Luxembourg;11;11;
Macau;20;20;
Malaysia;18;24;depending on the state
Mexico;8;8;
Mongolia;16;16;
Morocco;16;16;
Myanmar;25;26;
Nepal;35;35;
Netherlands;7;9;
New Zealand;12;12;
Nigeria;12;12;
Norway;12;12;
Malta;14;14;
Pakistan;15;16;
Peru;14;14;
Philippines;18;18;
Poland;14;14;
Portugal;13;15;depending on the region
Romania;15;15;
Russia;14;14;
Rwanda;14;14;
Saint Lucia;12;12;
Serbia;9;9;
Singapore;11;11;
Slovakia;14;15;
Slovenia;14;14;
South Africa;12;12;
South Korea;14;14;
Spain;12;13;depending on autonomous community
Sri Lanka;25;25;
Sweden;12;12;
Switzerland;9;15;depending on the canton, including holidays falling on a weekend
Taiwan;12;12;
Thailand;16;16;
Tanzania;16;16;
East Timor;18;18;
Trinidad and Tobago;18;18;
Turkey;14;14;
Ukraine;11;11;
United Kingdom;8;10;depending on nation, but 8 for England and Wales[82]
United States;6;11;
Uruguay;12;12;
Venezuela;14;14;
Vietnam;6;6;Note: Tet goes for 7 days but is only listed as one holiday
