Division,Product Name,Factory,Product ID,Unit Price,Unit Cost
Chocolate,Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,CHO-NUT-13000,3.49,1
Chocolate,Wonka Bar - Fudge Mallows,Lot's O' Nuts,CHO-FUD-51000,3.6,1.2
Chocolate,Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,CHO-SCR-58000,3.6,1.1
Chocolate,Wonka Bar - Milk Chocolate,Wicked Choccy's,CHO-MIL-31000,3.25,1.14
Chocolate,Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,CHO-TRI-54000,3.75,1.3
Sugar,Laffy Taffy,Sugar Shack,SUG-LAF-25000,1.99,0.75
Sugar,SweeTARTS,Sugar Shack,SUG-SWE-91000,1.5,0.8
Sugar,Nerds,Sugar Shack,SUG-NER-92000,1.5,0.8
Sugar,Fun Dip,Sugar Shack,SUG-FUN-75000,1.5,0.9
Other,Fizzy Lifting Drinks,Sugar Shack,OTH-FIZ-56000,3.75,1.5
Sugar,Everlasting Gobstopper,Secret Factory,SUG-EVE-47000,10,2
Sugar,Hair Toffee,The Other Factory,SUG-HAI-55000,4.5,1
Other,Lickable Wallpaper,Secret Factory,OTH-LIC-15000,20,10
Other,Wonka Gum,Secret Factory,OTH-GUM-21000,1.25,0.6
Other,Kazookles,The Other Factory,OTH-KAZ-38000,3.25,3
